user_poll_dt,content_url,picbear_url
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23421145_128064571192509_7369481826244493312_n.jpg,http://picbear.com/media/1642649209311003529_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21910833_134094433888431_3821690577477435392_n.jpg,http://picbear.com/media/1610823563312272750_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c150.0.779.779/21568560_1980644842148748_6462277423571402752_n.jpg,http://picbear.com/media/1602043377313804569_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c144.0.791.791/21436269_144078956191488_1006987655579172864_n.jpg,http://picbear.com/media/1601412028714247292_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c167.0.745.745/21371706_140034203269184_5324539435809767424_n.jpg,http://picbear.com/media/1596441362802020150_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c154.0.772.772/21149729_1879064539024823_6466881263440494592_n.jpg,http://picbear.com/media/1592057005500944188_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21041869_109626143102229_7764049592575852544_n.jpg,http://picbear.com/media/1587238199976963028_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20987116_801742770007540_950426432394231808_n.jpg,http://picbear.com/media/1587194977850453183_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20905389_1909923399330194_5464042477549780992_n.jpg,http://picbear.com/media/1586002341726554497_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20969202_165737517325535_3156545570919677952_n.jpg,http://picbear.com/media/1585534457426620450_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20901916_149261505656558_2231739846806732800_n.jpg,http://picbear.com/media/1585236540937519157_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20838695_1967823776794264_3717203141381324800_n.jpg,http://picbear.com/media/1584816907776667271_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20905623_678162902374658_6806718094015201280_n.jpg,http://picbear.com/media/1584805553577487766_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20838696_2039495669614567_6330073889204338688_n.jpg,http://picbear.com/media/1584800641418489952_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20902140_154068135171911_3982784664627576832_n.jpg,http://picbear.com/media/1584679794494135547_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20905372_267845360376053_2742275621370462208_n.jpg,http://picbear.com/media/1584610087199878379_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20968532_1604583246283662_6876029417244590080_n.jpg,http://picbear.com/media/1584046762359577085_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20838450_111566456177613_7267562484238647296_n.jpg,http://picbear.com/media/1582763011130407359_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20766540_398981170504534_7935573247595118592_n.jpg,http://picbear.com/media/1582511525066503371_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20766581_141718509752002_6027392902311706624_n.jpg,http://picbear.com/media/1581989446718124795_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20759112_509100016097237_6225496503608147968_n.jpg,http://picbear.com/media/1581072165829226534_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20766240_216360442223401_7565710197574860800_n.jpg,http://picbear.com/media/1580275238616078800_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20687878_1617203094970163_4420103362897248256_n.jpg,http://picbear.com/media/1579758024444010268_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20759073_160311371201172_6601237680229449728_n.jpg,http://picbear.com/media/1578972325801178527_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20635353_1915018115488690_8349796661173682176_n.jpg,http://picbear.com/media/1578314326887840185_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20634919_1654359781302954_7881647394868166656_n.jpg,http://picbear.com/media/1577467837605167210_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20635086_153178705260562_7440073058318024704_n.jpg,http://picbear.com/media/1576730460699873306_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20633189_1195593003880662_7691277706821894144_n.jpg,http://picbear.com/media/1575839378449554557_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20687792_115136952476755_8403561706030104576_n.jpg,http://picbear.com/media/1575099047890199698_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.35.1080.1080/20583119_107062526669141_2888016811050139648_n.jpg,http://picbear.com/media/1574789911419842248_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20482438_110589782937317_4861914193231609856_n.jpg,http://picbear.com/media/1574375803080134725_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20482258_422789494784108_1202231160843796480_n.jpg,http://picbear.com/media/1573922972136929420_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20583099_288850021591023_2174063327989202944_n.jpg,http://picbear.com/media/1573017844630488426_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20582644_117127082270143_8021345969289297920_n.jpg,http://picbear.com/media/1572942738453611220_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20481909_1269849376471723_5918965323347787776_n.jpg,http://picbear.com/media/1572204169845863686_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c216.0.648.648/20582463_160104547891050_1531587167409668096_n.jpg,http://picbear.com/media/1571541762744207535_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20398505_705031056353822_5390398052009771008_n.jpg,http://picbear.com/media/1570650318173102278_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20482199_1963365987234364_864326713364971520_n.jpg,http://picbear.com/media/1570243677984276694_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20394142_463234730717867_3940189326469496832_n.jpg,http://picbear.com/media/1569317857795067128_2060231850
November 08 2017 - 14:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20478444_453397171711263_7802659085119127552_n.jpg,http://picbear.com/media/1568712937429713413_2060231850
