user_poll_dt,content_url,picbear_url
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22580883_1576894569042839_7337909216708919296_n.jpg,http://picbear.com/media/1627262916833245260_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22429995_1937153266610741_2236234530081996800_n.jpg,http://picbear.com/media/1625826669778642975_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21826971_269717303540426_1539794729653239808_n.jpg,http://picbear.com/media/1606703638129113070_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21568797_1440693976045979_5030382846603165696_n.jpg,http://picbear.com/media/1603596743973508509_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21373340_799273070278518_5197467498303193088_n.jpg,http://picbear.com/media/1599445514636523920_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21435555_162616640956009_2866195100126412800_n.jpg,http://picbear.com/media/1598768708849772637_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21372578_1413420332111528_6500579426521055232_n.jpg,http://picbear.com/media/1597428203419548859_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21371720_338094556634933_6987352134878494720_n.jpg,http://picbear.com/media/1596984048771813898_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21148177_1450345835057105_1341409228178325504_n.jpg,http://picbear.com/media/1590159757384101559_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/e35/21149366_1349086851875459_4524736080557113344_n.jpg,http://picbear.com/media/1590159698102052865_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21107410_1889932857890448_1818154871526785024_n.jpg,http://picbear.com/media/1575566048793613083_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21224302_264103210751080_8425971608430051328_n.jpg,http://picbear.com/media/1573522109232313203_460563723
October 17 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21147747_124063991575556_704456919527456768_n.jpg,http://picbear.com/media/1573520347834150527_460563723
