user_poll_dt,content_url,picbear_url
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.118.1080.1080/22637729_339215529873928_6549556093943545856_n.jpg,http://picbear.com/media/1630101314447153761_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22582522_487751148264485_6524341393215717376_n.jpg,http://picbear.com/media/1629261818067513080_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22581006_2022693384620846_1077847026755960832_n.jpg,http://picbear.com/media/1628604391064147211_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22580133_383792258705687_6107473658467319808_n.jpg,http://picbear.com/media/1627223130034872107_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22500487_1702518019819219_6202263440661151744_n.jpg,http://picbear.com/media/1625742359537202223_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22344525_124657231574113_7810187024622682112_n.jpg,http://picbear.com/media/1625029441095008974_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22070915_882888091884287_8441077609705504768_n.jpg,http://picbear.com/media/1622742426911720789_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22157803_135704727069418_2377009457667244032_n.jpg,http://picbear.com/media/1618495688315141539_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22277661_120555935276931_2849643820881018880_n.jpg,http://picbear.com/media/1617833387396297625_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22277824_1122942077841307_3600686137544278016_n.jpg,http://picbear.com/media/1617089177206545881_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22158630_1975410632673168_2819739612866412544_n.jpg,http://picbear.com/media/1615629965943305335_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22069286_810858225742593_1604982691004940288_n.jpg,http://picbear.com/media/1613519515063510969_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22069617_774794042704280_1821172309390524416_n.jpg,http://picbear.com/media/1612826952568550263_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21980306_806467326181712_8037427542321266688_n.jpg,http://picbear.com/media/1612025408096987205_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21879109_1983023628577785_875057684859060224_n.jpg,http://picbear.com/media/1610484493117280904_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21879379_1114964778638069_2255878546557763584_n.jpg,http://picbear.com/media/1608432680478502804_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21819989_486548955071431_6154223114763894784_n.jpg,http://picbear.com/media/1608223688661885917_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21820335_1146837168750555_3226989554334433280_n.jpg,http://picbear.com/media/1607532379785578278_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21827583_1820311484946165_8221261797676548096_n.jpg,http://picbear.com/media/1607054554775335156_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21819669_359538567815020_2543675745192902656_n.jpg,http://picbear.com/media/1606943139599045964_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21577181_794639514031528_4856753214499848192_n.jpg,http://picbear.com/media/1605413687752074817_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21576866_500123893673142_5885014818053685248_n.jpg,http://picbear.com/media/1605036176720131193_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21690778_477685675948656_571936858955579392_n.jpg,http://picbear.com/media/1604801070604545441_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21690307_146874165911022_3610634346953703424_n.jpg,http://picbear.com/media/1604037951880033248_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21577322_130892320870741_7471414705987256320_n.jpg,http://picbear.com/media/1602653764493140218_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c103.0.874.874/21689061_145955549341378_7534481902682505216_n.jpg,http://picbear.com/media/1602535497074140013_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21433587_487154731662939_216964340291469312_n.jpg,http://picbear.com/media/1598223943797195342_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/21436211_367189747034394_7984610169113804800_n.jpg,http://picbear.com/media/1597502585609927666_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21371908_486733865026657_8982793085901602816_n.jpg,http://picbear.com/media/1596723950577992371_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21296285_1828793170765858_4047897171993821184_n.jpg,http://picbear.com/media/1596582315500104098_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21433585_346751802420031_5492842552551800832_n.jpg,http://picbear.com/media/1596580985536756020_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.103.1080.1080/21372270_261756667665933_4458600705254490112_n.jpg,http://picbear.com/media/1595618590001703103_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21295123_112774792751500_2614761697369391104_n.jpg,http://picbear.com/media/1595309307166871566_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21149322_1953280674914358_1599745794431254528_n.jpg,http://picbear.com/media/1594419273299465257_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21149229_1931206910477869_592351435513921536_n.jpg,http://picbear.com/media/1592391169576174145_240289337
October 23 2017 - 12:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c129.0.821.821/21147227_260640031109462_3418936843998068736_n.jpg,http://picbear.com/media/1592240631626813264_240289337
