user_poll_dt,content_url,picbear_url
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582113_144158976199726_8284925780077576192_n.jpg,http://picbear.com/media/1626335674826734431_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430100_2049546228608468_7553954863495774208_n.jpg,http://picbear.com/media/1626335179806387665_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430150_290930988057963_4880541011127828480_n.jpg,http://picbear.com/media/1626334749386914484_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22157505_1985706395043912_5875567135543001088_n.jpg,http://picbear.com/media/1616985019645372819_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22158944_1089558901174506_2202586351830827008_n.jpg,http://picbear.com/media/1616984356123104624_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22071368_2050998361789945_2106140236974129152_n.jpg,http://picbear.com/media/1616983694614399421_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21690467_524893977856398_2766372827442446336_n.jpg,http://picbear.com/media/1606799006629160130_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21434260_155879348326803_5004293385591193600_n.jpg,http://picbear.com/media/1599700559174560245_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21435900_1583470408371088_7307149313769996288_n.jpg,http://picbear.com/media/1599696857936036609_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21433645_170220873553123_4078777119268667392_n.jpg,http://picbear.com/media/1598437296658845104_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21224118_267202457111079_4569883002951172096_n.jpg,http://picbear.com/media/1591896160477797350_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21149159_331709267288609_4474499909680103424_n.jpg,http://picbear.com/media/1591895504119430214_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21224052_114128329261517_6252694268045950976_n.jpg,http://picbear.com/media/1591894968532152987_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10005619_116845385617803_6297343438090141696_n.jpg,http://picbear.com/media/1590903091603333412_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20987213_1365721856878784_2599521096113848320_n.jpg,http://picbear.com/media/1587011885852980101_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20905520_473897692991728_8491804759768956928_n.jpg,http://picbear.com/media/1587011398307113243_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20837621_2002532019976769_2575470151134609408_n.jpg,http://picbear.com/media/1580546363502112783_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20759780_1952527608357185_2323231149951811584_n.jpg,http://picbear.com/media/1580544177548360828_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20838165_135282370410473_7976283069340450816_n.jpg,http://picbear.com/media/1580543675498568796_3712873298
October 18 2017 - 12:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20766988_1453203694760270_2918089678135492608_n.jpg,http://picbear.com/media/1580144320228797034_3712873298
