user_poll_dt,content_url,picbear_url
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279737_1426677730764895_1563557911823646720_n.jpg,http://picbear.com/media/1640696744281234925_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279622_196392264239345_952410625680605184_n.jpg,http://picbear.com/media/1640687368552060898_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164438_127142818004218_6589574387299516416_n.jpg,http://picbear.com/media/1640108609428038365_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161106_872742286240861_540998130758320128_n.jpg,http://picbear.com/media/1639300858376461177_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860266_299196647248138_2678218250029891584_n.jpg,http://picbear.com/media/1638862846513527770_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23101467_615070932216878_593958157009551360_n.jpg,http://picbear.com/media/1638862521656253239_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098815_245983359264296_6663322630789005312_n.jpg,http://picbear.com/media/1638579973684382581_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099050_482361092149074_441596803524067328_n.jpg,http://picbear.com/media/1637220871288778493_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22711133_1896543973944812_6768835288463572992_n.jpg,http://picbear.com/media/1634107103608310921_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22345009_1949762341978873_6050619733261156352_n.jpg,http://picbear.com/media/1623939869707628993_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22344995_144506152954434_2347285556674691072_n.jpg,http://picbear.com/media/1622762887674429635_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344794_1437130566341301_832691401601843200_n.jpg,http://picbear.com/media/1622761541378265926_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22158585_1433090030061669_8238595929200918528_n.jpg,http://picbear.com/media/1617364261104230453_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.13.1080.1080/22158550_688793691329715_7475288117948186624_n.jpg,http://picbear.com/media/1614899225139979612_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069321_131986400865705_8408632541988257792_n.jpg,http://picbear.com/media/1614895914777138723_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22071213_512041052493187_8710844711725694976_n.jpg,http://picbear.com/media/1614894560847548595_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069569_1491694397579164_556447261266018304_n.jpg,http://picbear.com/media/1614717213586325791_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21984983_348248295619691_6401145981521362944_n.jpg,http://picbear.com/media/1614552307327113915_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909824_135657397055934_8689920490053042176_n.jpg,http://picbear.com/media/1611769581691903788_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980158_181251909086834_4808769169854038016_n.jpg,http://picbear.com/media/1609742699593067413_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879124_134212637316505_6059143370737975296_n.jpg,http://picbear.com/media/1609740989868906553_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879612_130448610931829_8787026784332808192_n.jpg,http://picbear.com/media/1609739267100489016_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21878914_499315863755732_232465877990113280_n.jpg,http://picbear.com/media/1609738688991270700_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879378_204091783464119_1157771166929125376_n.jpg,http://picbear.com/media/1609738345452543799_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910716_893257047518386_706754254584414208_n.jpg,http://picbear.com/media/1609737912247956855_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21827886_652937815095123_4234716356605378560_n.jpg,http://picbear.com/media/1609737125480397288_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21819884_1885468631772452_8696222066069733376_n.jpg,http://picbear.com/media/1606859401686504488_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21688760_295054834309179_511319799368777728_n.jpg,http://picbear.com/media/1603217734710412489_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21577194_146853749245502_7751709339785625600_n.jpg,http://picbear.com/media/1602492973659384099_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21569412_1910653472520815_7361797150499405824_n.jpg,http://picbear.com/media/1602492741622117971_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21569393_116380625716812_505570032160342016_n.jpg,http://picbear.com/media/1602473099469845741_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435489_1719891624974075_430666957864304640_n.jpg,http://picbear.com/media/1599570837655282476_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373408_870514539775339_6451828171867160576_n.jpg,http://picbear.com/media/1597605936154209294_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21373046_710805915776518_3872826041491783680_n.jpg,http://picbear.com/media/1596734951993438829_215961081
November 06 2017 - 21:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294823_1547302625348396_7972935614779621376_n.jpg,http://picbear.com/media/1594559069988268976_215961081
