user_poll_dt,content_url,picbear_url
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22280787_1864861307177066_6371042216441282560_n.jpg,http://picbear.com/media/1623013475536880768_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22344635_131382457586691_6510733167295463424_n.jpg,http://picbear.com/media/1622960726334164743_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22280665_295936220889682_1304909384916140032_n.jpg,http://picbear.com/media/1622893692925725184_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22280694_220549528481484_6010140847612362752_n.jpg,http://picbear.com/media/1622269785407284293_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22280498_526087827726736_2677473090383904768_n.jpg,http://picbear.com/media/1622237864421905697_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22344042_542645456074562_3508616886419980288_n.jpg,http://picbear.com/media/1622106656139949919_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22277538_1987368801539992_4665344475080425472_n.jpg,http://picbear.com/media/1621243648011075227_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22278101_1983448621898642_6748617266788564992_n.jpg,http://picbear.com/media/1620487955595339938_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22159346_1929202167353565_820740453237260288_n.jpg,http://picbear.com/media/1620451523224883405_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22159217_630424707345112_2466181938033983488_n.jpg,http://picbear.com/media/1619865305755226027_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/e35/22159103_1755163721443632_4597164605150593024_n.jpg,http://picbear.com/media/1619771812185816672_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/e35/22159271_2000232220188257_9062449331784646656_n.jpg,http://picbear.com/media/1619698121469566918_25025320
October 11 2017 - 16:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22158945_828102867374099_7415784008941830144_n.jpg,http://picbear.com/media/1619063863155014942_25025320
